sep=,
DeviceTag:,Xsens
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2024-04-03_10:37:15_065 CEST
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
67,152243306,0.928866,-0.016459,-0.057029,0.365628,-0.149697,-0.400106,0.305559
68,152259973,0.928813,-0.016245,-0.057288,0.365732,-0.087938,-0.427188,0.275118
69,152276640,0.928776,-0.015933,-0.057475,0.365813,-0.069785,-0.413006,0.253633
70,152293307,0.928725,-0.015616,-0.057676,0.365922,-0.045665,-0.419757,0.226914
71,152309974,0.928703,-0.015191,-0.057782,0.365981,-0.081938,-0.401603,0.212554
72,152326641,0.928647,-0.014902,-0.057952,0.366107,-0.097339,-0.418848,0.254507
73,152343308,0.928544,-0.014578,-0.058204,0.366341,-0.071864,-0.440759,0.247340
74,152359975,0.928446,-0.014275,-0.058510,0.366553,-0.037613,-0.500705,0.243210
75,152376642,0.928402,-0.013957,-0.058821,0.366627,0.039887,-0.552723,0.263502
76,152393309,0.928465,-0.013252,-0.058902,0.366481,0.047515,-0.472375,0.241520
77,152409976,0.928556,-0.012649,-0.058773,0.366292,-0.119721,-0.273682,0.300687
78,152426643,0.928540,-0.012509,-0.058808,0.366331,-0.139303,-0.279927,0.287774
79,152443310,0.928426,-0.012708,-0.058980,0.366586,-0.025304,-0.414802,0.279536
80,152459977,0.928289,-0.012732,-0.059033,0.366923,0.112735,-0.541701,0.233425
81,152476644,0.928206,-0.012496,-0.058883,0.367165,0.071022,-0.516723,0.176483
82,152493311,0.928157,-0.012277,-0.058542,0.367350,-0.023894,-0.416900,0.202027
83,152509978,0.928081,-0.012379,-0.058373,0.367567,-0.039676,-0.479905,0.274535
84,152526645,0.928016,-0.012415,-0.058184,0.367759,0.022331,-0.623152,0.275556
85,152543312,0.928010,-0.012212,-0.057919,0.367822,-0.028798,-0.609101,0.262328
86,152559979,0.928035,-0.011913,-0.057656,0.367811,-0.061585,-0.517026,0.274855
87,152576646,0.927996,-0.011707,-0.057388,0.367959,-0.115416,-0.504610,0.279121
88,152593313,0.927881,-0.011646,-0.057434,0.368243,-0.043330,-0.559996,0.262256
89,152609980,0.927820,-0.011464,-0.057446,0.368401,0.078500,-0.567058,0.187877
90,152626647,0.927851,-0.011097,-0.057142,0.368381,0.049891,-0.485217,0.152020
91,152643314,0.927889,-0.010867,-0.056694,0.368362,-0.056418,-0.382873,0.227532
92,152659981,0.927846,-0.010852,-0.056286,0.368533,-0.097310,-0.461710,0.239618
93,152676648,0.927745,-0.011008,-0.056042,0.368819,-0.066156,-0.581857,0.312968
94,152693315,0.927661,-0.010901,-0.055910,0.369053,0.023854,-0.611778,0.266418
95,152709982,0.927645,-0.010623,-0.055497,0.369165,-0.018015,-0.479137,0.258574
96,152726649,0.927609,-0.010451,-0.055033,0.369329,-0.125637,-0.405238,0.276282
97,152743316,0.927427,-0.010635,-0.054721,0.369828,-0.131256,-0.445792,0.304799
98,152759983,0.927160,-0.010925,-0.054679,0.370494,0.003999,-0.621584,0.287556
99,152776650,0.926987,-0.011007,-0.054528,0.370946,0.130060,-0.605644,0.165795
100,152793317,0.926952,-0.010839,-0.053871,0.371135,0.059600,-0.485364,0.192059
101,152809984,0.926931,-0.010852,-0.053069,0.371302,-0.099250,-0.437196,0.240803
102,152826651,0.926843,-0.011084,-0.052308,0.371622,-0.164461,-0.524043,0.266842
103,152843318,0.926720,-0.011458,-0.051855,0.371981,-0.129568,-0.726784,0.337145
104,152859985,0.926657,-0.011469,-0.051607,0.372171,0.001162,-0.721522,0.227222
105,152876652,0.926674,-0.011280,-0.051055,0.372212,-0.105854,-0.600835,0.234822
106,152893319,0.926641,-0.011278,-0.050674,0.372346,-0.199990,-0.572881,0.267518
107,152909986,0.926553,-0.011574,-0.050666,0.372557,-0.072302,-0.728261,0.251629
108,152926653,0.926534,-0.011487,-0.050584,0.372618,0.068397,-0.682516,0.216198
109,152943320,0.926653,-0.011356,-0.050231,0.372373,0.060584,-0.604310,0.234689
110,152959987,0.926820,-0.011028,-0.049482,0.372069,-0.077850,-0.507431,0.191031
111,152976654,0.926849,-0.010919,-0.048665,0.372107,-0.255231,-0.472129,0.297653
112,152993321,0.926715,-0.011389,-0.048475,0.372450,-0.228712,-0.682519,0.325628
113,153009988,0.926573,-0.011712,-0.048847,0.372747,0.024513,-0.786669,0.205160
114,153026655,0.926557,-0.011737,-0.048793,0.372791,0.141154,-0.749640,0.162303
115,153043322,0.926636,-0.011234,-0.048058,0.372707,-0.008586,-0.559932,0.194321
116,153059989,0.926646,-0.011141,-0.047233,0.372791,-0.223077,-0.514426,0.275805
117,153076656,0.926519,-0.011586,-0.047010,0.373120,-0.218072,-0.678725,0.330873
118,153093323,0.926380,-0.011956,-0.047206,0.373427,-0.012692,-0.797791,0.277775
119,153109990,0.926388,-0.012004,-0.047219,0.373405,0.099441,-0.765041,0.217751
120,153126657,0.926521,-0.011703,-0.046731,0.373145,0.044173,-0.591883,0.184106
121,153143324,0.926615,-0.011465,-0.045914,0.373021,-0.159203,-0.474481,0.196344
122,153159991,0.926563,-0.011803,-0.045406,0.373201,-0.240261,-0.587278,0.283757
123,153176658,0.926435,-0.012179,-0.045596,0.373485,-0.017418,-0.727459,0.235957
124,153193325,0.926391,-0.012206,-0.045216,0.373638,0.044029,-0.688793,0.199751
125,153209992,0.926380,-0.011962,-0.044634,0.373745,-0.145729,-0.559242,0.262771
126,153226659,0.926277,-0.012192,-0.044316,0.374029,-0.208700,-0.583887,0.299541
127,153243326,0.926100,-0.012569,-0.044356,0.374451,-0.078764,-0.705963,0.313869
128,153259993,0.925958,-0.012630,-0.044246,0.374812,-0.005283,-0.807902,0.252435
129,153276660,0.925880,-0.012474,-0.044017,0.375038,-0.072178,-0.670289,0.246670
130,153293327,0.925776,-0.012461,-0.043833,0.375317,-0.135377,-0.595470,0.244454
131,153309994,0.925605,-0.012743,-0.043749,0.375737,-0.112970,-0.730121,0.247086
132,153326661,0.925401,-0.012750,-0.043890,0.376225,-0.007458,-0.843321,0.267284
133,153343328,0.925281,-0.012602,-0.044005,0.376511,0.088536,-0.720360,0.179162
