time,seconds_elapsed,z,y,x
1713449200440532200,0.0105322265625,0.0202789306640625,-0.9560394287109375,-0.1115570068359375
1713449200450605300,0.020605224609375,0.0111541748046875,-0.95379638671875,-0.131317138671875
1713449200460679200,0.03067919921875,0.0013427734375,-0.9666595458984375,-0.153533935546875
1713449200470752300,0.040752197265625,0.0090484619140625,-0.977996826171875,-0.158355712890625
1713449200480825300,0.050825439453125,0.0168609619140625,-0.9937286376953125,-0.1315765380859375
1713449200490898400,0.0608984375,0.001800537109375,-0.97998046875,-0.1373138427734375
1713449200500972300,0.07097216796875,-0.0322418212890625,-0.951934814453125,-0.1611785888671875
1713449200511045000,0.081045166015625,-0.0733795166015625,-0.9212646484375,-0.1170654296875
1713449200521118500,0.091118408203125,-0.1005096435546875,-0.8580169677734375,-0.0260162353515625
1713449200531191300,0.10119140625,-0.124053955078125,-0.7596435546875,0.0428619384765625
1713449200541264400,0.111264404296875,-0.1662750244140625,-0.657135009765625,0.134979248046875
1713449200551338200,0.121338134765625,-0.2073516845703125,-0.618927001953125,0.17169189453125
1713449200561411300,0.131411376953125,-0.1092987060546875,-0.5854034423828125,0.3011932373046875
1713449200571484400,0.141484375,0.0078277587890625,-0.5555877685546875,0.3401947021484375
1713449200581557200,0.15155712890625,0.03741455078125,-0.8646697998046875,-0.24481201171875
1713449200591631400,0.16163134765625,-0.352020263671875,-1.365478515625,-1.08306884765625
1713449200601704400,0.171704345703125,-0.7321929931640625,-1.4806976318359375,-1.0400543212890625
1713449200611777300,0.18177734375,-0.6465301513671875,-1.3098602294921875,-0.5945281982421875
1713449200621850400,0.191850341796875,-0.40765380859375,-1.071563720703125,-0.1148223876953125
1713449200631923200,0.201923095703125,-0.268310546875,-0.9374542236328125,0.062164306640625
1713449200641998000,0.211998046875,-0.2571868896484375,-0.909698486328125,0.0392608642578125
1713449200652071000,0.22207080078125,-0.24267578125,-0.8709564208984375,0.041900634765625
1713449200662144000,0.23214404296875,-0.233001708984375,-0.82989501953125,-0.0051422119140625
1713449200672217000,0.242217041015625,-0.1857452392578125,-0.7718048095703125,-0.035888671875
1713449200682291000,0.252291015625,-0.1533203125,-0.7292327880859375,-0.0178070068359375
1713449200692364000,0.262364013671875,-0.1348419189453125,-0.6996612548828125,-0.1092681884765625
1713449200702436900,0.272436767578125,-0.102325439453125,-0.7009429931640625,-0.2020263671875
1713449200712510200,0.28251025390625,-0.286651611328125,-0.70684814453125,-0.257354736328125
1713449200722583000,0.2925830078125,-0.48260498046875,-0.7545928955078125,-0.33355712890625
1713449200732657000,0.302656982421875,-0.478729248046875,-0.8191070556640625,-0.341461181640625
1713449200742730000,0.31272998046875,-0.437744140625,-0.893096923828125,-0.341400146484375
1713449200752803000,0.322802978515625,-0.411773681640625,-0.90380859375,-0.4412994384765625
1713449200762876200,0.332876220703125,-0.403350830078125,-0.9037628173828125,-0.6061859130859375
1713449200772950000,0.342949951171875,-0.3985443115234375,-0.8857421875,-0.6934356689453125
1713449200783023000,0.353023193359375,-0.4142608642578125,-0.8602752685546875,-0.6208953857421875
1713449200793096200,0.36309619140625,-0.4568328857421875,-0.8080902099609375,-0.4797821044921875
1713449200803169000,0.3731689453125,-0.4732208251953125,-0.741790771484375,-0.3401641845703125
1713449200813241900,0.383241943359375,-0.4918975830078125,-0.708404541015625,-0.2349395751953125
1713449200823316200,0.393316162109375,-0.5136871337890625,-0.648651123046875,-0.14935302734375
1713449200833389000,0.40338916015625,-0.544891357421875,-0.590972900390625,-0.123382568359375
1713449200843462000,0.4134619140625,-0.6220703125,-0.5990142822265625,-0.2149200439453125
1713449200853535000,0.423534912109375,-0.7149200439453125,-0.6204071044921875,-0.336761474609375
1713449200863609000,0.433609130859375,-0.8179473876953125,-0.6029815673828125,-0.3887176513671875
1713449200873682000,0.443681884765625,-0.9228515625,-0.5634765625,-0.3666534423828125
1713449200883755000,0.453755126953125,-1.0193328857421875,-0.51763916015625,-0.3097381591796875
1713449200893827800,0.463827880859375,-1.048583984375,-0.506866455078125,-0.26171875
1713449200903901200,0.473901123046875,-0.97930908203125,-0.567626953125,-0.26190185546875
1713449200913975000,0.48397509765625,-0.8894195556640625,-0.596405029296875,-0.313690185546875
1713449200924048000,0.4940478515625,-0.784515380859375,-0.5560760498046875,-0.3947296142578125
1713449200934121200,0.504121337890625,-0.664764404296875,-0.5622406005859375,-0.4875640869140625
1713449200944194000,0.514194091796875,-0.6008148193359375,-0.568145751953125,-0.587005615234375
1713449200954268000,0.524267822265625,-0.57855224609375,-0.5724945068359375,-0.6420440673828125
1713449200964341000,0.534341064453125,-0.547088623046875,-0.6208343505859375,-0.6085968017578125
1713449200974414000,0.5444140625,-0.5177459716796875,-0.63427734375,-0.602294921875
1713449200984487200,0.554487060546875,-0.531829833984375,-0.5743560791015625,-0.65655517578125
1713449200994560000,0.56456005859375,-0.265228271484375,-0.45361328125,-0.7515106201171875
1713449201004633900,0.5746337890625,-0.3300933837890625,-0.5045318603515625,-0.889373779296875
1713449201014707200,0.584707275390625,-0.5625,-0.6243133544921875,-0.76336669921875
1713449201024780000,0.594780029296875,-0.4950714111328125,-0.5903778076171875,-0.5797271728515625
1713449201034852900,0.604852783203125,-0.518585205078125,-0.577484130859375,-0.5738372802734375
1713449201044927200,0.61492724609375,-0.436737060546875,-0.586578369140625,-0.601806640625
1713449201055000000,0.625,-0.3973846435546875,-0.585845947265625,-0.5156402587890625
1713449201065073000,0.635072998046875,-0.46661376953125,-0.593109130859375,-0.374969482421875
