time,seconds_elapsed,z,y,x
1710531836094360600,0.029360595703125,0.1556499959170818,-0.2764988736964762,-0.1795261259418912
1710531836104434700,0.0394345703125,0.23640111045539378,-0.3130176094070077,-0.19384798995144664
1710531836114508500,0.049508544921875,0.3755161511570215,-0.40871290283799167,-0.23483829985177143
1710531836124582700,0.059582763671875,0.5238005867421627,-0.3528811255007982,-0.212173079986684
1710531836134656800,0.06965673828125,0.2069815392255783,-0.25175533145368095,-0.08818659830130636
1710531836144731000,0.07973095703125,-0.44105216090679167,-0.10496405703574418,-0.00727623808067292
1710531836154804700,0.0898046875,-0.8382283552080393,0.052288697902858255,0.10542626772001384
1710531836164878600,0.099878662109375,-0.5544505765497684,0.2066703543845564,0.30779844998661426
1710531836174952700,0.10995263671875,-0.23280805439949034,0.34279980340413746,0.47931759415417907
1710531836185027000,0.120027099609375,-0.027965280768275258,0.4096092671558261,0.5108452070465311
1710531836195101200,0.13010107421875,0.3136825030565262,0.38542679286189374,0.40966132613662626
1710531836205175000,0.140175048828125,0.2887070517539978,0.31166034957915545,0.243880542957969
1710531836215249400,0.15024951171875,0.09601824177503586,0.22023718050941823,0.049964163945429026
1710531836225323300,0.1603232421875,-0.07453940041661263,0.15732779293619095,-0.15064393125809727
1710531836235396000,0.17039599609375,-0.16920681210458277,0.12755772776827215,-0.32299572685752065
1710531836245470200,0.18047021484375,-0.03064998980760574,0.054435500673204656,-0.3468815197598189
1710531836255544000,0.1905439453125,0.03398644075393677,-0.039671500653028484,-0.28117420856375247
1710531836265618200,0.2006181640625,0.05562076493501663,-0.16076690053939818,-0.13208426528200506
1710531836275692300,0.2106923828125,0.10260989512503146,-0.3436903955683112,0.032045097427815195
1710531836285766100,0.22076611328125,0.160008191126585,-0.570454420563206,0.24635518944319337
1710531836295840300,0.23084033203125,0.04268938716948032,-0.689992069613561,0.43090091537907715
1710531836305914000,0.2409140625,-0.04177227232456207,-0.5641328163262457,0.3877878959700465
1710531836315988200,0.25098828125,-0.05507891314327717,-0.36423180994614957,0.3201157509744167
1710531836326062000,0.26106201171875,-0.154256495732069,-0.17549005709253251,0.25220808018986135
1710531836336136200,0.27113623046875,-0.1486105987995863,-0.004239610331133008,0.17281674623005092
1710531836346210300,0.281210205078125,-0.02393792494833469,0.17866035769172012,0.09142733378820121
1710531836356284200,0.2912841796875,0.10881810211539268,0.2565729608684778,0.039527379474602636
1710531836366358300,0.301358154296875,0.14696633872389792,0.3094889968894422,-0.03328706031292677
1710531836376432000,0.31143212890625,0.11838438736200332,0.2787369349468499,-0.10040135223008692
1710531836386506200,0.32150634765625,0.025395722541213035,0.20924130085110662,-0.1322404056917876
1710531836396580000,0.331580078125,-0.014032032483816147,0.1164967469844967,-0.12797105780951679
1710531836406654200,0.341654296875,-0.012514029136300087,0.02610796246379614,-0.07225527153480797
1710531836416728300,0.351728271484375,0.006498714369535446,-0.058703387250751256,-0.03988094215262681
1710531836426802200,0.36180224609375,0.04575812709033489,-0.12957009050399065,0.009472871342115104
1710531836436876300,0.371876220703125,0.07087444816827773,-0.15699746500328182,0.05352598461285233
1710531836446950100,0.3819501953125,0.03448562244772911,-0.18629720924571155,0.0731452061118558
1710531836457024000,0.39202392578125,0.004695464339852333,-0.19346242469996214,0.10196377924121916
1710531836467098000,0.40209814453125,-0.03608721242547035,-0.17448453331179917,0.09465067974887788
1710531836477172200,0.412172119140625,-0.0017787001103162765,-0.12856113265715538,0.1132300368061289
1710531836487246300,0.422246337890625,0.01153086331784725,-0.08513422499336301,0.12714381320513785
1710531836497320200,0.4323203125,-0.00547287845313549,-0.07714571045748889,0.13060995494574307
1710531836507394300,0.442394287109375,0.03825754220187664,-0.039058629451692105,0.14726031670179218
1710531836517468200,0.45246826171875,0.05572480983138084,0.0316232187539339,0.1229356939908117
1710531836527542000,0.4625419921875,0.06082184070944786,0.0866901491984725,0.08588913501389324
1710531836537616100,0.4726162109375,-0.034493221232295035,0.14946633884608745,0.0810356305681169
1710531836547690200,0.482690185546875,-0.06637362961769104,0.16746968611367047,0.054772039151191707
1710531836557763000,0.49276318359375,0.04668342524170875,0.18650325321182606,0.06717157506234943
1710531836567837200,0.502837158203125,-0.016045125871896743,0.15128244835734367,0.08686769772246479
1710531836577911000,0.5129111328125,0.037599370554089545,0.06495148786008358,0.09388027989827095
1710531836587985200,0.522985107421875,0.03829261351525783,-0.039132498405501245,0.08111428529489785
1710531836598059300,0.533059326171875,0.02586217100918293,-0.14076989523656666,0.08233560725077986
1710531836608133400,0.54313330078125,0.02202303123772144,-0.21808044086694717,0.06687580698616802
1710531836618207200,0.553207275390625,-0.021733108380436895,-0.2606706785108894,0.04244662792216986
1710531836628281000,0.563281005859375,-0.028629882156848904,-0.2403006021119654,0.026384477850235996
1710531836638355200,0.573355224609375,-0.005315057542920112,-0.17217559878230093,0.043123540803045035
1710531836648429000,0.583428955078125,0.008393149814009666,-0.10944777832105755,0.04321454355474561
1710531836658503200,0.593503173828125,0.020079495954513547,-0.028182138389348983,0.01838233664780855
1710531836668577300,0.603577392578125,0.023463293173909185,0.016616788280010224,-0.004802029986865818
1710531836678651100,0.613651123046875,0.003464461240172386,0.00794518685080111,-0.022326434631086883
1710531836688725200,0.623725341796875,-0.04746259292066097,-0.022249314274266362,-0.030036643682233986
1710531836698799000,0.633799072265625,-0.08158639631867408,-0.07473587283678353,-0.025139811551384627
1710531836708873200,0.643873291015625,-0.06466974830925465,-0.11543861623369156,0.010244915160536765
